MARCA;MODELO;CC;MM DATA;ABS;MODELO con ABS;Año;KM;Coste;PVP;Margen;Matrícula;Model_id;Fecha
HONDA;CRF AFRICA TWIN 1000;1000;CRF 1000 L AFRICA TWIN DCT 2017;NO;CRF AFRICA TWIN 1000 ;2017;30000;8800.00;10150.00;1350.00;2352KBT;deb620c0-a5bf-4051-8256-1c014e92af79;19/12/2023
TRIUMPH;TIGER 900;900;TIGER900;NO;TIGER 900 ;2020;5931;9900.00;10150.00;250.00;4482LJS;c82680b5-389a-4df4-9fd6-2a507d779c61;16/01/2024
YAMAHA;XVS 1100 DRAG STAR;1100;XVS 1100 DRAG STAR CLASSIC;NO;XVS 1100 DRAG STAR ;2005;13815;8800.00;10150.00;1350.00;7903GFT;553398b7-2f48-41d4-b67b-976cbddda46f;27/12/2023
BMW;F 900 XR;895;F 900 XR;NO;F 900 XR ;2021;22000;10000.00;10190.00;190.00;2348LSS;e382e1d3-d8f5-4b54-ac6a-7c1927ac8ac2;12/07/2024
DUCATI;MULTISTRADA 950;937;MULTISTRADA 950;;;2017;16800;8900.00;10190.00;1290.00;1412KBN;ac7c76f3-f8bc-4324-8258-27d9bd8db3f3;12/09/2024
HARLEY DAVIDSON;SPORTSTER 1200;1200;SPORTSTER SPORTSTER;NO;SPORTSTER 1200 ;2015;10000;8800.00;10190.00;1390.00;9819JHJ;46f4f234-906e-4064-8832-2e1b5cc55558;11/05/2023
HONDA;FORZA 750;750;FORZA 750;NO;FORZA 750 ;2021;7000;9060.00;10190.00;1130.00;4141LPZ;0b0a49e9-8096-42ac-ad0d-5fdd084bab14;31/10/2023
HONDA;X-ADV 750;745;X-ADV;;;2021;8974;9250.00;10190.00;940.00;9931LSZ;8452937f-3bc2-43fd-9fa5-226bde0c1166;02/10/2024
KAWASAKI;Z 1000;1000;Z 1000;NO;Z 1000 ;2020;13000;10000.00;10190.00;190.00;2801LGZ;a157226b-13c4-4350-b11b-7bcc0be51761;20/06/2024
HONDA;CRF AFRICA TWIN 1000;1000;CRF 1000 L AFRICA TWIN DCT;NO;CRF AFRICA TWIN 1000 ;2018;23243;9075.00;10200.00;1125.00;3346KHJ;deb620c0-a5bf-4051-8256-1c014e92af79;06/06/2023
YAMAHA;TRACER 900;900;TRACER 900 GT;NO;TRACER 900 ;2020;19466;9600.00;10200.00;600.00;1892LFW;74fb6c7b-b67c-4d0b-b0ac-963c1e7e4a93;26/01/2023
YAMAHA;T-MAX 530 ;530;X MAX 530ST;NO;T-MAX 530  ;2018;41000;7950.00;10210.00;2260.00;2579KNC;8b148fd7-a7a3-4320-b486-f45bbf7e916c;05/04/2023
PEUGEOT;KISBEE 50;50;KISBEE 50;NO;KISBEE 50 ;2016;15325;579.00;1024.00;445.00;C7667BVY;26db4908-925f-46dd-840a-b61302d64a15;19/06/2024
BMW;R 1200 R;1200;R 1200 GS;NO;R 1200 R ;2015;27000;9000.00;10240.00;1240.00;3999MJT;94850003-2ea8-428a-b60e-7e9b3926a4a5;13/03/2024
DUCATI;DIAVEL 1198;1198;DIAVEL 1198;;;2011;13476;6650.00;10240.00;3590.00;1711HHJ;ZZZZZZZ;27/08/2024
HARLEY DAVIDSON;SPORTSTER 1200;1200;SPORTSTER 1200;NO;SPORTSTER 1200 ;2017;5100;9300.00;10240.00;940.00;9097JYX;46f4f234-906e-4064-8832-2e1b5cc55558;22/05/2024
HONDA;CRF AFRICA TWIN 1000;1000;CRF 1000 L AFRICA TWIN;NO;CRF AFRICA TWIN 1000 ;2017;40327;9000.00;10240.00;1240.00;1458KDD;deb620c0-a5bf-4051-8256-1c014e92af79;20/03/2024
YAMAHA;T-MAX 560;562;T-MAX 560;;;2020;12794;9250.00;10240.00;990.00;8908LGJ;7acabccd-e5d7-429c-a5a2-b9a7a19b3e59;23/09/2024
YAMAHA;TRACER 9;889;TRACER 9;NO;TRACER 9 ;2023;12100;10400.00;10240.00;-160.00;0322MFK;0817ed43-7044-4e98-bc33-ed358f9300b5;28/05/2024
YAMAHA;TRACER 9;889;TRACER 9;;;2022;5537;8860.00;10249.00;1389.00;2653LYG;0817ed43-7044-4e98-bc33-ed358f9300b5;21/10/2024
BMW;R 1200 GS;1200;R 1200 GS;NO;R 1200 GS ;2013;23296;9000.00;10250.00;1250.00;7604HTC;94850003-2ea8-428a-b60e-7e9b3926a4a5;22/05/2024
BMW;R NINE T;1170;R NINET;NO;R NINE T ;2016;22500;8500.00;10250.00;1750.00;7462JPS;f8585d56-b642-4b8d-a63d-426a6bba013a;29/06/2023
YAMAHA;TRACER 9;889;TRACER 9 2021;NO;TRACER 9 ;2021;8370;9105.00;10250.00;1145.00;6525LTZ;0817ed43-7044-4e98-bc33-ed358f9300b5;01/06/2023
BMW;F 700 GS;750;F750 GS;NO;F 700 GS ;2021;20684;9000.00;10290.00;1290.00;0083LNT;664a94fb-d524-43ed-8bf6-20e5e9be32d6;08/02/2023
BMW;R 1200 GS;1170;R 1200 GS;;;2015;50041;8045.00;10290.00;2245.00;3572JFW;94850003-2ea8-428a-b60e-7e9b3926a4a5;07/10/2024
HARLEY DAVIDSON;SPORTSTER 1200;1200;SPORTSTER SPORTSTER;NO;SPORTSTER 1200 ;2016;15955;8000.00;10290.00;2290.00;6268JNY;46f4f234-906e-4064-8832-2e1b5cc55558;26/04/2023
HARLEY DAVIDSON;SPORTSTER 1200;1200;SPORTSTER 1200 iron;NO;SPORTSTER 1200 ;2019;15900;9500.00;10290.00;790.00;5643KVM;46f4f234-906e-4064-8832-2e1b5cc55558;22/06/2023
HARLEY DAVIDSON;SPORTSTER 1200;1200;SPORTSTER 1200;NO;SPORTSTER 1200 ;2019;11200;9000.00;10290.00;1290.00;5484KTB;46f4f234-906e-4064-8832-2e1b5cc55558;15/04/2024
HARLEY DAVIDSON;SPORTSTER 1200;1200;SPORTSTER 1200;NO;SPORTSTER 1200 ;2019;25683;8500.00;10290.00;1790.00;6956KZL;46f4f234-906e-4064-8832-2e1b5cc55558;15/07/2024
HARLEY DAVIDSON;SPORTSTER 883;883;SPORTSTER 883 IRON;NO;SPORTSTER 883 ;2020;15293;8000.00;10290.00;2290.00;0001LHH;a34332b5-71f5-43d4-ab19-1588174963eb;21/03/2023
HARLEY DAVIDSON;SPORTSTER 883;883;Sportster 883 Iron ;NO;SPORTSTER 883 ;2018;3200;9000.00;10290.00;1290.00;2300KHD;a34332b5-71f5-43d4-ab19-1588174963eb;18/04/2023
HARLEY DAVIDSON;SPORTSTER 883;883;SPORTSTER 883 IRON;NO;SPORTSTER 883 ;2020;1400;8800.00;10290.00;1490.00;0078LLK;a34332b5-71f5-43d4-ab19-1588174963eb;04/09/2023
HONDA;FORZA 750;750;FORZA 750 2020;NO;FORZA 750 ;2021;3000;9000.00;10290.00;1290.00;6014LNX;0b0a49e9-8096-42ac-ad0d-5fdd084bab14;15/06/2023
KAWASAKI;VERSYS 1000;1000;VERSYS 1000 ABS;ABS;VERSYS 1000 ABS;2017;25000;8000.00;10290.00;2290.00;3533JYF;26a56205-7375-4740-b722-9c55f1fdf5e3;18/12/2023
KAWASAKI;Z 1000;1000;Z 1000 SX ;NO;Z 1000 ;2018;25900;9000.00;10290.00;1290.00;5247KHZ;a157226b-13c4-4350-b11b-7bcc0be51761;16/05/2023
KAWASAKI;Z 1000;1000;Z 1000;NO;Z 1000 ;2020;10148;8750.00;10290.00;1540.00;3501LDS;a157226b-13c4-4350-b11b-7bcc0be51761;18/07/2024
KAWASAKI;Z 900;900;Z 900 RS;NO;Z 900 ;2021;4900;9000.00;10290.00;1290.00;7314LMC;9f1adb0a-c852-475d-a22a-08080cd0a922;23/10/2023
KTM;ADVENTURE 1090;1090;Adventure 1090 ;NO;ADVENTURE 1090 ;2017;6000;8800.00;10290.00;1490.00;3900JWB;e06ab49d-b4ba-4bde-a664-3d6162efcab6;12/05/2023
KTM;ADVENTURE 890;890;890 ADVENTURE;NO;ADVENTURE 890 ;2022;7500;8200.00;10290.00;2090.00;9286LXB;e84e3f74-f361-4f16-a2ed-d5693e5d0934;22/01/2024
KTM;ADVENTURE 890;890;890 ADVENTURE;NO;ADVENTURE 890 ;2022;6700;9500.00;10290.00;790.00;3971MBR;e84e3f74-f361-4f16-a2ed-d5693e5d0934;29/01/2024
KTM;SUPER ADVENTURE 1290;1290;SUPER ADVENTURE 1290 R;NO;SUPER ADVENTURE 1290 ;2017;38800;11000.00;10290.00;-710.00;9625JYZ;2b7af9f5-9a7c-4ff8-b6d4-f9327697a658;12/05/2023
KTM;SUPER DUKE 1290;1290;SUPER DUKE 1290;NO;SUPER DUKE 1290 ;2017;26000;8800.00;10290.00;1490.00;6726KFN;27a6e9f4-a84d-431c-aa51-84501d8ac778;22/03/2023
TRIUMPH;THRUXTON 900;900;THRUXTON THRUXTON;NO;THRUXTON 900 ;2016;8500;9000.00;10290.00;1290.00;7896JSP;3216260c-be18-41ea-a4b0-58207bd2b678;24/05/2023
TRIUMPH;TIGER 1050 SPORT;1050;TIGER 1050 SPORT;NO;TIGER 1050 SPORT ;2019;16700;9000.00;10290.00;1290.00;8209KWT;023579f6-e01d-452f-912f-16b8e7503355;24/01/2024
YAMAHA;TENERE 700;700;TENERE 700;NO;TENERE 700 ;2022;16600;10000.00;10290.00;290.00;8312LZC;a7527a89-a55d-42c8-955c-420209d14143;18/04/2024
YAMAHA;T-MAX 560;560;T-MAX 560 techmax;NO;T-MAX 560 ;2020;31200;9500.00;10290.00;790.00;0965LFC;7acabccd-e5d7-429c-a5a2-b9a7a19b3e59;16/10/2023
DUCATI;SUPERSPORT 950;937;SUPERSPORT 950;;;2020;7171;9000.00;10299.00;1299.00;6241LJC;ae31699c-8be0-4e6a-86eb-ffa0f8bdc32b;12/11/2024
HONDA;CRF AFRICA TWIN 1000;998;CRF 1000 L AFRICA TWIN;;;2019;33474;8600.00;10299.00;1699.00;0953KVM;deb620c0-a5bf-4051-8256-1c014e92af79;15/10/2024
HONDA;CRF AFRICA TWIN 1100;1084;CRF 1100 L AFRICA TWIN;;;2020;42334;9000.00;10299.00;1299.00;8117LKG;be9ca6ff-be29-4f29-ade2-8100d93ba667;19/11/2024
BMW;S 1000 R;1000;S 1000 R;NO;S 1000 R ;2017;27900;9500.00;10300.00;800.00;7352JWC;b11227d1-c796-4942-8350-80625be305d5;13/03/2023
HONDA;FORZA 750;750;FORZA 750;NO;FORZA 750 ;2021;3719;9000.00;10310.00;1310.00;1045LSK;0b0a49e9-8096-42ac-ad0d-5fdd084bab14;22/02/2023
BMW;F 850 GS;850;F 850 GS;NO;F 850 GS ;2019;14000;9000.00;10340.00;1340.00;4906KWZ;0b32b1ef-4a10-40e3-bdbe-c42d053df961;31/07/2023
HONDA;FORZA 750;750;FORZA 750;NO;FORZA 750 ;2021;4945;9000.00;10340.00;1340.00;2488LSN;0b0a49e9-8096-42ac-ad0d-5fdd084bab14;30/01/2023
